L z 0 1 2 3 4 5 6 7 8 9
3.24 0.555556 1.333867 2.435727 5.417841 12.515791 12.515795 12.633352 12.633406 12.673826 12.674045 13.606924
2.9388 0.583333 1.387890 2.476742 5.629130 12.624314 12.624318 12.727268 12.727309 12.791342 12.791616 13.707283
2.6777 0.611111 1.439568 2.518878 5.840026 12.732526 12.732531 12.821059 12.821089 12.907784 12.908121 13.807150
2.4499 0.638889 1.488800 2.562478 6.050172 12.840514 12.840519 12.915903 12.915924 13.023115 13.023522 13.907898
2.25 0.666667 1.535546 2.607782 6.259335 12.948357 12.948363 13.012810 13.012824 13.137298 13.137782 14.010738
2.0736 0.694444 1.579839 2.654915 6.467439 13.056130 13.056137 13.112029 13.112040 13.250294 13.250862 14.116123
1.9172 0.722222 1.621792 2.703874 6.674510 13.163921 13.163929 13.212304 13.212320 13.362086 13.362745 14.222963
1.7778 0.75 1.661547 2.754526 6.880599 13.271794 13.271803 13.310515 13.310548 13.472636 13.473395 14.328289
1.6531 0.777778 1.699218 2.806669 7.085667 13.379820 13.379830 13.402661 13.402717 13.581925 13.582791 14.428209
1.541 0.805556 1.734857 2.860118 7.289550 13.485828 13.485913 13.488074 13.488085 13.689940 13.690926 14.519903
1.44 0.833333 1.768465 2.914760 7.492018 13.559524 13.559644 13.596634 13.596646 13.796674 13.797796 14.602947
1.3486 0.861111 1.800048 2.970541 7.692841 13.625297 13.625456 13.705594 13.705607 13.902138 13.903416 14.678940
1.2656 0.888889 1.829637 3.027429 7.891861 13.685467 13.685669 13.815029 13.815043 14.006326 14.007783 14.750223
1.1901 0.916667 1.857309 3.085375 8.088975 13.742146 13.742393 13.925009 13.925024 14.109231 14.110900 14.818908
1.1211 0.944444 1.883168 3.144312 8.284154 13.796867 13.797164 14.035594 14.035611 14.210846 14.212766 14.886519
1.058 0.972222 1.907342 3.204159 8.477406 13.850644 13.850993 14.146856 14.146874 14.311186 14.313403 14.954047
1.0 1.0 1.929957 3.264816 8.668755 13.904080 13.904486 14.258833 14.258852 14.410250 14.412817 15.022073
0.9467 1.027778 1.951140 3.326180 8.858221 13.957545 13.958011 14.371552 14.371573 14.508041 14.511019 15.090937
0.8975 1.055556 1.971011 3.388149 9.045829 14.011274 14.011803 14.485022 14.485045 14.604568 14.608024 15.160846
0.8521 1.083333 1.989682 3.450622 9.231614 14.065426 14.066021 14.599227 14.599251 14.699840 14.703845 15.231931
0.81 1.111111 2.007260 3.513514 9.415613 14.120154 14.120817 14.714145 14.714169 14.793884 14.798517 15.304320
0.771 1.138889 2.023837 3.576740 9.597862 14.175586 14.176321 14.829706 14.829731 14.886715 14.892057 15.378119
0.7347 1.166667 2.039498 3.640219 9.778376 14.231869 14.232678 14.945817 14.945840 14.978351 14.984486 15.453449
0.7009 1.194444 2.054322 3.703879 9.957190 14.289163 14.290048 15.062343 15.062359 15.068832 15.075830 15.530449
0.6694 1.222222 2.068380 3.767663 10.134339 14.347670 14.348634 15.158089 15.166093 15.179201 15.179260 15.609304
0.64 1.25 2.081736 3.831513 10.309855 14.407598 14.408645 15.246276 15.255356 15.296184 15.296232 15.690203
0.6125 1.277778 2.094446 3.895376 10.483761 14.469190 14.470323 15.333354 15.343609 15.413133 15.413181 15.773371
0.5867 1.305556 2.106562 3.959203 10.656078 14.532648 14.533871 15.419349 15.430880 15.529870 15.529919 15.858993
0.5625 1.333333 2.118134 4.022955 10.826845 14.598370 14.599691 15.504287 15.517200 15.646213 15.646264 15.947449
0.5398 1.361111 2.129207 4.086603 10.996098 14.666599 14.668025 15.588204 15.602604 15.762007 15.762060 16.038970
0.5184 1.388889 2.139822 4.150111 11.163870 14.737600 14.739140 15.671119 15.687117 15.877091 15.877147 16.133803
0.4983 1.416667 2.150018 4.213450 11.330184 14.811595 14.813264 15.753055 15.770762 15.991323 15.991382 16.232154
0.4793 1.444444 2.159833 4.276593 11.495079 14.888703 14.890520 15.834033 15.853562 16.104582 16.104644 16.334125
0.4614 1.472222 2.169307 4.339529 11.658599 14.968901 14.970892 15.914088 15.935557 16.216789 16.216854 16.439680
0.4444 1.5 2.178477 4.402238 11.820784 15.051883 15.054080 15.993239 16.016767 16.327867 16.327936 16.548496
0.4284 1.527778 2.187380 4.464708 11.981670 15.136974 15.139418 16.071509 16.097218 16.437769 16.437841 16.659879
0.4133 1.555556 2.196053 4.526928 12.141291 15.222990 15.225736 16.148920 16.176935 16.546464 16.546540 16.772630
0.3989 1.583333 2.204533 4.588892 12.299685 15.308117 15.311228 16.225489 16.255939 16.653941 16.654021 16.884914
0.3853 1.611111 2.212855 4.650604 12.456892 15.389879 15.393427 16.301251 16.334267 16.760222 16.760306 16.994242
0.3723 1.638889 2.221052 4.712064 12.612939 15.465175 15.469234 16.376220 16.411938 16.865324 16.865411 17.097494
0.36 1.666667 2.229149 4.773269 12.767833 15.530605 15.535241 16.450418 16.488974 16.969279 16.969371 17.191251
